question,answer,context_id
Why is there Prednisone in his muscle tissue ?,He is sick,57863
The passage is mainly about   _  .,what makes different people happy,22410
What state did we visit during our vacation ?,We went to Florida for our vacation .,50097
What kind of readers will probably like reading More Things in Heaven?,Those who are searching for the meaning of life.,11080
When was Abduraheem sent to prison?,December 2015,36388
What would need to happen first for this to be plausible ?,The establishment would need to catch aflame .,48727
why are they searching for the historical society ?,They want to learn about history,48529
What may have happened before they went on their trip ?,They had booked their flight to Japan .,1015
"From the passage, we can infer that if you want to see the objects in the sky_.",you'd better follow Sean O'Brien's guidance,29965
What is the Dark Knight ?,It is a Batman movie .,8401
Why does the author visit the place where his subject used to stay?,To gather information about him.,53618
Patch met Snout:,not enough information,52978
Where can we find the passage?,It is from an educational magazine.,59808
Where did the author print her tickets?,the hotel,20197
What may happen after finding out that I have a child from a one night stand ?,I will say that It occured prior to meeting my wife .,4521
What type of genre of movie does the narrator seem to like ?,They seem to like movies about love .,4427
Why was Craig impressed?,Because Sondra remembered who he was,441
"What is the family film,according to the passage?",A kind of film that is meant for both children and adults,22961
What may have Dan done the last time ?,He got very sick .,29818
How long did the Gallup Daily Tracking poll take to gather data on Trump's rating Thursday?,a few hours,9986
Which of the following would be author agree with?,Economic conditions are a major cause of crime,8780
Why is the narrator so happy with their customers ?,They are return clients .,18779
What happens if there are not enough volunteers to fill the service demand ?,People will have to wait for their service .,8905
How did forks become popular in England?,Wealthy British considered dining with forks a sign of social status.,41085
Melatonin can   _  .,help people fall asleep,33690
Why did having trouble getting to the airport foreshadow the rest of the trip ?,Because it was difficult,53981
What does the narrator need to do right now ?,improve the walls of their home .,43913
Why is riding sidesaddle unstable ?,Both legs are on the same side of the horse and it 's hard to balance .,59529
Why is the writer picking up a boarding pass ?,Because they are about to take a flight somewhere .,19592
Who is the bar owners wife?,not enough information,8105
Who did they meet with while in Brazil,They met with Sulamita,25847
Which statement is NOT true according to Wu Hao?,A good grade is the most important for a good student.,25538
When will Kim Jong Un destroy any of his nuclear weapons,Likely never,18982
Who was wearing a velvet scarf and knit hat at the shop ?,The mannequin was wearing a velvet scarf and knit hat .,59197
What may have happened before this conversation ?,They connected with a friend .,47747
What was the supposed reason Mr. Coen taught this person desktop publishing?,to work on the official school magazine,9768
Why does the narrator have to wait for an upgrade ?,Their contract is not up .,8285
What may have happened before they started jogging again ?,They realized they were being too lazy .,44422
How are the friends feeling after the sushi meal ?,None of the above choices .,16327
The most important thing to protect elephants is   _  .,to change people's ideas,37362
How does Kenny feel toward Justin?,Grateful.,9872
When the author found he was short of gas he was   _  .,in South Laguna,57728
